134.21,144.54,139,116.99,105.21,97.75,112.5,115.91,112.3,111.5,113.57,112.67,117.2,115.24,115,117.98,111.5,114.22,118.76,123.01,123.5,121.99,122,122.88,123.89,126.7,133.2,131.98,133.48,129.74,0
144.54,139,116.99,105.21,97.75,112.5,115.91,112.3,111.5,113.57,112.67,117.2,115.24,115,117.98,111.5,114.22,118.76,123.01,123.5,121.99,122,122.88,123.89,126.7,133.2,131.98,133.48,129.74,129,1
139,116.99,105.21,97.75,112.5,115.91,112.3,111.5,113.57,112.67,117.2,115.24,115,117.98,111.5,114.22,118.76,123.01,123.5,121.99,122,122.88,123.89,126.7,133.2,131.98,133.48,129.74,129,132.3,0
116.99,105.21,97.75,112.5,115.91,112.3,111.5,113.57,112.67,117.2,115.24,115,117.98,111.5,114.22,118.76,123.01,123.5,121.99,122,122.88,123.89,126.7,133.2,131.98,133.48,129.74,129,132.3,128.8,1
105.21,97.75,112.5,115.91,112.3,111.5,113.57,112.67,117.2,115.24,115,117.98,111.5,114.22,118.76,123.01,123.5,121.99,122,122.88,123.89,126.7,133.2,131.98,133.48,129.74,129,132.3,128.8,129,1
97.75,112.5,115.91,112.3,111.5,113.57,112.67,117.2,115.24,115,117.98,111.5,114.22,118.76,123.01,123.5,121.99,122,122.88,123.89,126.7,133.2,131.98,133.48,129.74,129,132.3,128.8,129,129.3,0
112.5,115.91,112.3,111.5,113.57,112.67,117.2,115.24,115,117.98,111.5,114.22,118.76,123.01,123.5,121.99,122,122.88,123.89,126.7,133.2,131.98,133.48,129.74,129,132.3,128.8,129,129.3,122.29,0
115.91,112.3,111.5,113.57,112.67,117.2,115.24,115,117.98,111.5,114.22,118.76,123.01,123.5,121.99,122,122.88,123.89,126.7,133.2,131.98,133.48,129.74,129,132.3,128.8,129,129.3,122.29,122.22,0
112.3,111.5,113.57,112.67,117.2,115.24,115,117.98,111.5,114.22,118.76,123.01,123.5,121.99,122,122.88,123.89,126.7,133.2,131.98,133.48,129.74,129,132.3,128.8,129,129.3,122.29,122.22,121.42,1
111.5,113.57,112.67,117.2,115.24,115,117.98,111.5,114.22,118.76,123.01,123.5,121.99,122,122.88,123.89,126.7,133.2,131.98,133.48,129.74,129,132.3,128.8,129,129.3,122.29,122.22,121.42,121.65,0
